Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B),%Pengurangan Sampah(B/A),Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2
2021,Jambi,Kab. Merangin,"72,545.03","16,863.33",23.25,"35,262.65",48.61,"52,125.98",71.85,"5,514.93","19,107.75",33.94,P 2
2021,Jambi,Kab. Bungo,"56,722.46","11,652.08",20.54,"28,932.67",51.01,"40,584.75",71.55,"8,571.58","7,652.06",28.6,P 2
2021,Jambi,Kota Jambi,"158,106.98","34,795.35",22.01,"118,999.31",75.27,"153,794.65",97.27,"11,183.15",,7.07,P 2
2021,Sumatera Selatan,Kab. Ogan Komering Ulu,"54,938.49","6,306.40",11.48,"20,805.00",37.87,"27,111.40",49.35,"5,827.29",,10.61,P 1
2021,Sumatera Selatan,Kab. Muara Enim,"148,459.04","35,709.51",24.05,"33,580.00",22.62,"69,289.51",46.67,"15,293.19",,10.3,P 2
2021,Sumatera Selatan,Kab. Lahat,"112,361.75","4,826.10",4.3,"27,740.00",24.69,"32,566.10",28.98,"4,826.10",,4.3,P 2
2021,Sumatera Selatan,Kab. Musi Banyuasin,"90,842.08","19,703.94",21.69,"18,841.30",20.74,"38,545.24",42.43,"13,317.43",,14.66,P 2
2021,Sumatera Selatan,Kota Palembang,"430,791.65","91,748.02",21.3,"321,390.61",74.6,"413,138.63",95.9,"65,777.38",,15.27,P 2
2021,Sumatera Selatan,Kota Prabumulih,"35,426.54","8,022.08",22.64,"23,517.69",66.38,"31,539.78",89.03,"7,452.60",,21.04,P 2
2021,Bengkulu,Kab. Seluma,"38,966.12",0,0,"1,551.25",3.98,"1,551.25",3.98,,,0,P 2
2021,Bengkulu,Kab. Kepahiang,"21,318.92","3,037.89",14.25,"6,570.00",30.82,"9,607.89",45.07,56.58,,0.27,P 1
2021,Lampung,Kab. Lampung Tengah,"172,707.86","3,905.50",2.26,"25,550.00",14.79,"29,455.50",17.06,0,0,0,P 2
2021,Lampung,Kab. Tanggamus,"89,783.28",793.38,0.88,"10,220.00",11.38,"11,013.38",12.27,,,0,P 2
2021,Lampung,Kab. Way Kanan,"70,036.49",512.59,0.73,"4,361.76",6.23,"4,874.36",6.96,334.87,419.76,1.08,P 2
2021,Lampung,Kab. Pesawaran,"71,892.44","24,589.86",34.2,"1,445.40",2.01,"26,035.26",36.21,461.5,,0.64,P 1
2021,Lampung,Kab. Pringsewu,"59,396.16",31.28,0.05,"11,016.57",18.55,"11,047.85",18.6,31.28,"1,225.31",2.12,P 2
2021,Lampung,Kota Bandar Lampung,"276,649.16","13,311.86",4.81,"255,500.00",92.36,"268,811.86",97.17,51.93,,0.02,P 1
2021,Lampung,Kota Metro,"37,912.84","4,956.17",13.07,"27,375.00",72.21,"32,331.17",85.28,"4,540.92",,11.98,P 2
2021,Kepulauan Bangka Belitung,Kab. Bangka,"47,634.69","4,278.52",8.98,"27,389.78",57.5,"31,668.30",66.48,"2,157.00",39.6,4.61,P 2
