Time,Time Code,Provinces Name,Provinces Code,Household Access to safe Sanitation (in % of total Household) [HOU.STA.ACSN.ZS],Household Access to Safe Water (in % of total household) [HOU.H2O.ACSN.ZS]
2017,YR2017,"Cianjur, Kab.",ID.JR.CJ,72.3370285,43.97128677
2017,YR2017,"Cimahi, Kota",ID.JR.CI,77.36242676,82.13301086
2017,YR2017,"Cirebon, Kab.",ID.JR.CR,62.89395142,69.85532379
2017,YR2017,"Cirebon, Kota",ID.JR.CE,82.85836029,94.92376709
2017,YR2017,"Depok, Kota",ID.JR.DE,96.95381165,78.04418182
2017,YR2017,"Garut, Kab.",ID.JR.GA,65.71846008,52.89382935
2017,YR2017,"Indramayu, Kab.",ID.JR.IN,72.67253876,88.61061096
2017,YR2017,"Karawang, Kab.",ID.JR.KA,76.20529938,82.21589661
2017,YR2017,"Kuningan, Kab.",ID.JR.KU,82.44488525,68.39201355
2017,YR2017,"Majalengka, Kab.",ID.JR.MA,74.68299866,70.13031006
2017,YR2017,"Pangandaran, Kab.",ID.JR.PN,82.02565002,68.32611847
2017,YR2017,"Purwakarta, Kab.",ID.JR.PU,86.57920074,55.53078079
2017,YR2017,"Subang, Kab.",ID.JR.SB,80.35733795,60.00413132
2017,YR2017,"Sukabumi, Kab.",ID.JR.SM,74.74112701,52.65164948
2017,YR2017,"Sukabumi, Kota",ID.JR.SK,82.13500214,79.17063141
2017,YR2017,"Sumedang, Kab.",ID.JR.SD,79.53331757,75.83128357
2017,YR2017,"Tasikmalaya, Kab.",ID.JR.TM,64.56705475,51.93163681
2017,YR2017,"Tasikmalaya, Kota",ID.JR.TS,83.85967255,74.72936249
2017,YR2017,"Banjarnegara, Kab.",ID.JT.BN,72.99703979,66.76927185
2017,YR2017,"Banyumas, Kab.",ID.JT.BY,78.98365784,67.46860504
2017,YR2017,"Batang, Kab.",ID.JT.BT,80.35153961,69.69718933
2017,YR2017,"Blora, Kab.",ID.JT.BL,79.20368195,81.97679138
