Level,Provinces Name,Provinces Code,Time,Time Code,Household Access to Safe Water (in % of total household),Household Access to safe Sanitation (in % of total Household)
"Bali, Prop.","Karangasem, Kab.",ID.BA.KA,2017,YR2017,66.75799561,55.21086884
"Bali, Prop.","Karangasem, Kab.",ID.BA.KA,2018,YR2018,78.3151474,64.78412628
"Bali, Prop.","Karangasem, Kab.",ID.BA.KA,2019,YR2019,83.89390564,68.9526062
"Bali, Prop.","Karangasem, Kab.",ID.BA.KA,2020,YR2020,73.48612213,67.05089569
"Bali, Prop.","Klungkung, Kab.",ID.BA.KL,2011,YR2011,69.83316,60.60743
"Bali, Prop.","Klungkung, Kab.",ID.BA.KL,2012,YR2012,79.67,62.24
"Bali, Prop.","Klungkung, Kab.",ID.BA.KL,2013,YR2013,77.13681793,72.12928772
"Bali, Prop.","Klungkung, Kab.",ID.BA.KL,2014,YR2014,75.66304016,64.49565125
"Bali, Prop.","Klungkung, Kab.",ID.BA.KL,2015,YR2015,82.70048523,67.57793427
"Bali, Prop.","Klungkung, Kab.",ID.BA.KL,2016,YR2016,78.49615479,68.03453064
"Bali, Prop.","Klungkung, Kab.",ID.BA.KL,2017,YR2017,81.34228516,78.55432892
"Bali, Prop.","Klungkung, Kab.",ID.BA.KL,2018,YR2018,83.88104248,81.57089996
"Bali, Prop.","Klungkung, Kab.",ID.BA.KL,2019,YR2019,85.41233826,84.38337708
"Bali, Prop.","Klungkung, Kab.",ID.BA.KL,2020,YR2020,82.28237915,85.39627838
"Bali, Prop.","Tabanan, Kab.",ID.BA.TA,2011,YR2011,84.94348,75.08285
"Bali, Prop.","Tabanan, Kab.",ID.BA.TA,2012,YR2012,90.18,74.33
"Bali, Prop.","Tabanan, Kab.",ID.BA.TA,2013,YR2013,86.53301239,73.96820831
"Bali, Prop.","Tabanan, Kab.",ID.BA.TA,2014,YR2014,93.92896271,76.42289734
"Bali, Prop.","Tabanan, Kab.",ID.BA.TA,2015,YR2015,91.61196899,79.57059479
"Bali, Prop.","Tabanan, Kab.",ID.BA.TA,2016,YR2016,89.20899963,82.09706116
"Bali, Prop.","Tabanan, Kab.",ID.BA.TA,2017,YR2017,96.23225403,83.69886017
"Bali, Prop.","Tabanan, Kab.",ID.BA.TA,2018,YR2018,88.83120728,86.85868835
"Bali, Prop.","Tabanan, Kab.",ID.BA.TA,2019,YR2019,87.25960541,86.060112
"Bali, Prop.","Tabanan, Kab.",ID.BA.TA,2020,YR2020,88.91064453,90.22196198
"Banten, Prop.","Lebak, Kab.",ID.BT.LE,2011,YR2011,32.24372,41.24484
