Tahun,Provinsi,Kabupaten/Kota,Luas Wilayah (km2)(A),Luas RTH (km2)(B),% RTH(B/A),Taman Kota (km2),Hutan Kota (km2),Jalur hijau di Jalan (km2),Sempadan Sungai (km2),Sempadan Pantai (km2),Tempat Pemakaman Umum (km2),Sempadan Rel Kereta Api (km2),Jalur Hijau Jaringan Listrik Tegangan Tinggi (km2),Pengaman Sumber_Air Baku Mata Air (km2),Kebun Bibit (km2),Lain-lain (km2)
2020,Jawa Tengah,Kab. Cilacap,425.65,41.92403,9.85,1.66,0.68,1.83,32.14,1.12,1.7,0.9,1.52,0.39,-,-
2020,Jawa Tengah,Kab. Banyumas,"1,328.00",,,-,-,-,-,-,-,-,-,-,-,-
2020,Jawa Tengah,Kab. Banjarnegara,"1,069.73",0.02918,0,0.02,0.01,-,-,-,-,-,-,-,-,-
2020,Jawa Tengah,Kab. Kebumen,"1,281.12",16.01923,1.25,0.48,0.01,15.09,-,-,0.43,-,-,-,-,-
2020,Jawa Tengah,Kab. Purworejo,"1,034.84",0.38122,0.04,0.15,0.06,0,0.01,-,0.16,-,-,-,-,-
2020,Jawa Tengah,Kab. Wonosobo,"98,468.00",0,0,0,0,0,-,-,-,-,-,-,-,-
2020,Jawa Tengah,Kab. Magelang,"1,085.73",0.5905,0.05,0.02,0.13,0.23,0.01,-,0.2,-,-,-,-,-
2020,Jawa Tengah,Kab. Boyolali,"1,096.35",0.06767,0.01,0.07,0,-,-,-,-,-,-,-,-,-
2020,Jawa Tengah,Kab. Klaten,655.56,0.19634,0.03,0.2,-,-,-,-,-,-,-,-,-,-
2020,Jawa Tengah,Kab. Sukoharjo,466.66,0.28362,0.06,0.03,0,-,-,-,0.25,-,-,-,-,-
2020,Jawa Tengah,Kab. Wonogiri,"1,822.36",693.84427,38.07,0.02,693.82,0,-,-,-,-,-,-,-,-
2020,Jawa Tengah,Kab. Sragen,941.55,117.42213,12.47,0.13,60.09,42.7,10.63,-,0.52,0.38,0.11,2.87,-,-
2020,Jawa Tengah,Kab. Grobogan,"2,022.25",0.7053,0.03,0.71,-,-,-,-,-,-,-,-,-,-
2020,Jawa Tengah,Kab. Blora,"1,820.95",,,-,-,-,-,-,-,-,-,-,-,-
2020,Jawa Tengah,Kab. Rembang,"1,014.08",1.37809,0.14,0.08,1.28,0.02,-,-,-,-,-,-,-,-
2020,Jawa Tengah,Kab. Pati,"1,503.68",,,-,-,-,-,-,-,-,-,-,-,-
2020,Jawa Tengah,Kab. Kudus,425.2,6.30079,1.48,0.05,0.01,0.12,5.73,-,0.38,-,-,-,-,-
2020,Jawa Tengah,Kab. Jepara,"1,004.13",178.43197,17.77,0.17,177.19,0.03,-,1.04,0.01,-,-,-,-,-
2020,Jawa Tengah,Kab. Semarang,"95,021.00",,,-,-,-,-,-,-,-,-,-,-,-
2020,Jawa Tengah,Kab. Temanggung,870.65,0.06434,0.01,0.05,0.01,0,-,-,-,-,-,-,-,-
2020,Jawa Tengah,Kab. Kendal,"1,002.23",0.07119,0.01,0.07,-,-,-,-,-,-,-,-,-,-
2020,Jawa Tengah,Kab. Batang,"78,864.00",0.298,0,0.21,0.02,-,0,0.07,-,-,-,-,-,-
2020,Jawa Tengah,Kab. Pekalongan,836.13,,,-,-,-,-,-,-,-,-,-,-,-
2020,Jawa Tengah,Kab. Pemalang,"1,115.00",150.178,13.47,0.18,-,-,-,-,-,-,-,150,-,-
2020,Jawa Tengah,Kab. Tegal,876.1,,,-,-,-,-,-,-,-,-,-,-,-
2020,Jawa Tengah,Kab. Brebes,"1,763.46",,,-,-,-,-,-,-,-,-,-,-,-
2020,Jawa Tengah,Kota Magelang,18.54,1.88699,10.18,0.79,0.69,0.05,0,-,0.35,-,-,-,-,-
2020,Jawa Tengah,Kota Salatiga,56.78,0.53456,0.94,0.16,0,0.01,-,-,0.37,-,-,-,-,-
2020,Jawa Tengah,Kota Semarang,373.7,109.35306,29.26,2.15,28.71,14.65,9.98,5.37,4.32,0.46,0.3,43.41,-,-
2020,Jawa Tengah,Kota Tegal,39.68,2.06065,5.19,0.2,0.09,0.76,0.49,0.52,-,-,-,-,-,-
2020,D.I. Yogyakarta,Kab. Kulon Progo,586.3,0.00421,0,0,0,-,-,-,-,-,-,-,-,-
2020,D.I. Yogyakarta,Kab. Bantul,506.85,0.00386,0,0,-,-,-,-,-,-,-,-,-,-
2020,D.I. Yogyakarta,Kab. Gunungkidul,"1,485.00",0.43284,0.03,0.06,0.07,0.07,-,0.13,0.11,-,-,-,-,-
2020,D.I. Yogyakarta,Kab. Sleman,574.82,0.00814,0,0.01,-,0,-,-,-,-,-,-,-,-
2020,D.I. Yogyakarta,Kota Yogyakarta,32.5,2.61539,8.05,0.47,0.17,0.77,0.43,-,0.34,0.11,-,-,-,0.32
2020,Jawa Timur,Kab. Pacitan,"1,390.00",584.33657,42.04,0.17,583.99,0.06,-,0.04,0.09,-,-,-,-,-
2020,Jawa Timur,Kab. Ponorogo,"137,178.00",0.11565,0,0.12,-,-,-,-,-,-,-,-,-,-
2020,Jawa Timur,Kab. Trenggalek,"1,261.00",3.3878,0.27,0.02,3.36,0.01,-,-,-,-,-,-,-,-
2020,Jawa Timur,Kab. Tulungagung,"1,055.65",2.50861,0.24,0.14,0.02,1.41,-,-,0.66,0.28,-,-,-,-
2020,Jawa Timur,Kab. Blitar,"1,588.79",0.03927,0,0.03,0.01,0,-,-,-,-,-,-,-,-
2020,Jawa Timur,Kab. Kediri,"1,386,050.00",0.13945,0,0.1,-,0.04,0,-,-,-,-,-,-,0
2020,Jawa Timur,Kab. Malang,"3,530.65",,,-,-,-,-,-,-,-,-,-,-,-
2020,Jawa Timur,Kab. Lumajang,"99,999.99",4.02368,0,0.1,0,3.92,-,-,-,-,-,-,-,-
2020,Jawa Timur,Kab. Banyuwangi,"5,782.50",2.44488,0.04,0.92,0.09,0.83,-,0.21,0.39,-,-,0,-,-
2020,Jawa Timur,Kab. Bondowoso,"1,560.10",0.05403,0,0.05,0.01,-,-,-,-,-,-,-,-,-
2020,Jawa Timur,Kab. Situbondo,"11,789.00",1.0478,0.01,0.13,0.05,0.08,-,0.79,-,-,-,-,-,-
2020,Jawa Timur,Kab. Probolinggo,"1,696.16",3.99245,0.24,0.04,0,0,0,3.88,0.03,0,-,0.04,-,-
2020,Jawa Timur,Kab. Pasuruan,"1,474.02",0.97925,0.07,0.01,0.88,-,-,-,0.09,-,-,-,-,-
2020,Jawa Timur,Kab. Sidoarjo,714.24,0.34084,0.05,0.1,0.03,0.1,0,-,0.1,0,-,-,-,-
2020,Jawa Timur,Kab. Mojokerto,692.2,,,-,-,-,-,-,-,-,-,-,-,-
2020,Jawa Timur,Kab. Jombang,"1,159.50",0.10924,0.01,0.1,0.01,0,-,-,-,-,-,-,-,-
2020,Jawa Timur,Kab. Nganjuk,"1,224.33",0.09722,0.01,0.07,0.03,-,-,-,-,-,-,-,-,-
2020,Jawa Timur,Kab. Madiun,"1,010.86",458.94199,45.4,0.24,0.03,0.01,-,-,-,-,-,-,2.01,456.65
2020,Jawa Timur,Kab. Magetan,688.84,0.09548,0.01,0.04,0.03,0.03,-,-,-,-,-,-,-,-
2020,Jawa Timur,Kab. Ngawi,"1,295.98",0.72214,0.06,0.55,0.12,0.05,-,-,0,-,-,-,-,-
2020,Jawa Timur,Kab. Bojonegoro,"2,307.06",15.81438,0.69,0.31,0.02,1.66,13.35,-,0.06,0.42,-,-,-,-
2020,Jawa Timur,Kab. Tuban,"1,839.94",16.7375,0.91,-,-,-,16.74,-,-,-,-,-,-,-
2020,Jawa Timur,Kab. Gresik,5.54,15.72823,283.9,1.09,2.14,0.75,0.14,0.04,0.29,0,-,11.28,-,-
2020,Jawa Timur,Kab. Sampang,"1,224.33",1.8989,0.16,0.02,0.01,0.57,-,1.3,-,-,-,-,-,-
2020,Jawa Timur,Kab. Pamekasan,792.2,21.25756,2.68,0.1,0,10.2,1.86,-,0.43,-,0.06,5.8,-,2.8
2020,Jawa Timur,Kab. Sumenep,"2,093.47",0.44003,0.02,0.02,0.05,0.07,0.14,-,0.16,-,-,-,-,-
2020,Jawa Timur,Kota Kediri,63.4,0.15798,0.25,0.1,0,0.03,0.02,-,-,-,-,0,-,-
2020,Jawa Timur,Kota Blitar,32.58,2.29036,7.03,0.1,0.03,0.07,1.45,-,0.22,0.08,0.33,0,-,-
2020,Jawa Timur,Kota Malang,110.06,1.55267,1.41,0.29,0.1,0.71,-,-,0.46,-,-,-,-,-
2020,Jawa Timur,Kota Probolinggo,56.67,0.1939,0.34,0.03,-,-,-,-,-,-,-,-,0.01,0.15
2020,Jawa Timur,Kota Pasuruan,35.29,0.09709,0.28,0.07,0.02,0.01,-,-,-,-,-,-,-,-
2020,Jawa Timur,Kota Mojokerto,20.21,0.05072,0.25,0.05,-,-,-,-,-,-,-,-,-,-
2020,Jawa Timur,Kota Madiun,33.23,2.55566,7.69,0.69,0.15,0.33,0.95,-,0.44,-,-,-,-,-
2020,Jawa Timur,Kota Surabaya,334.51,56.55573,16.91,0.61,0.66,2.15,2.82,41.24,5.47,0.92,0.71,1.98,-,-
2020,Jawa Timur,Kota Batu,199.09,0.79964,0.4,0,0.02,0.01,-,-,0.77,-,-,-,-,-
2020,Banten,Kab. Lebak,"3,305.07",5.53015,0.17,1.71,0.03,0.05,1.63,0.02,1.75,0.01,0.32,-,-,-
2020,Banten,Kota Tangerang,164.55,0.61153,0.37,0.11,0.01,0.19,0.2,-,0.1,-,-,-,-,-
2020,Banten,Kota Cilegon,175.51,,,-,-,-,-,-,-,-,-,-,-,-
2020,Banten,Kota Serang,266.74,0.17512,0.07,0.16,0.01,-,-,-,-,-,-,-,-,-
2020,Banten,Kota Tangerang Selatan,147.19,0.27454,0.19,0.08,0.17,0.03,-,-,-,-,-,-,-,-
2020,Bali,Kab. Jembrana,841.8,0.41452,0.05,0.35,0,0.04,-,-,-,-,-,-,-,0.02
2020,Bali,Kab. Tabanan,"83,933.00",53.10619,0.06,20.13,0.22,-,0.02,-,0.04,-,-,-,-,32.71
2020,Bali,Kab. Badung,420.1,0.12564,0.03,0.13,-,-,-,-,-,-,-,-,-,-
2020,Bali,Kab. Gianyar,368,,,-,-,-,-,-,-,-,-,-,-,-
2020,Bali,Kab. Klungkung,315,0.0656,0.02,0.07,-,-,-,-,-,-,-,-,-,-
2020,Bali,Kab. Bangli,520.81,1.25644,0.24,0.02,1.22,0.01,-,-,-,-,-,-,-,-
2020,Bali,Kab. Karangasem,839.5,0.03229,0,0.01,0,0.02,0,-,-,-,-,-,-,-
2020,Bali,Kab. Buleleng,"1,366.00",0.25944,0.02,0.05,0.02,0.13,-,-,0.06,-,-,-,-,-
2020,Nusa Tenggara Barat,Kab. Lombok Barat,"105,392.00",0.01103,0,0.01,-,-,-,-,-,-,-,-,-,-
2020,Nusa Tenggara Barat,Kab. Lombok Timur,"2,679.88",,,-,-,-,-,-,-,-,-,-,-,-
2020,Nusa Tenggara Barat,Kab. Lombok Utara,809.53,0.01023,0,0.01,-,-,-,-,-,-,-,-,-,-
2020,Nusa Tenggara Barat,Kota Mataram,61.3,0.05888,0.1,0.02,0.04,-,-,-,-,-,-,-,-,-
2020,Nusa Tenggara Timur,Kab. Manggarai,"2,096.44",,,-,-,-,-,-,-,-,-,-,-,-
2020,Nusa Tenggara Timur,Kab. Sumba Timur,"7,000.00",,,-,-,-,-,-,-,-,-,-,-,-
2020,Nusa Tenggara Timur,Kab. Nagekeo,"1,416.96",0.01145,0,0.01,-,-,-,0,-,-,-,-,-,-
2020,Nusa Tenggara Timur,Kab. Sumba Tengah,"1,869.18",0.32,0.02,0.31,-,-,-,-,-,-,-,-,0.01,-
2020,Nusa Tenggara Timur,Kab. Manggarai Timur,152.5,,,-,-,-,-,-,-,-,-,-,-,-
2020,Kalimantan Barat,Kab. Sambas,"6,395.70",0.09999,0,0.02,0.03,0.01,0.04,-,-,-,-,-,-,-
2020,Kalimantan Barat,Kab. Mempawah,"2,797.88",,,-,-,-,-,-,-,-,-,-,-,-
2020,Kalimantan Barat,Kab. Sanggau,"12,857.70",0.70314,0.01,0.45,0.25,-,-,-,-,-,0,-,-,-
2020,Kalimantan Barat,Kab. Ketapang,"31,588.00",0.11088,0,0.03,-,0.08,-,-,-,-,-,-,-,-
2020,Kalimantan Barat,Kab. Bengkayang,"5,396.30",0.195,0,0.03,-,-,-,-,0.16,-,-,-,-,-
2020,Kalimantan Barat,Kab. Melawi,"10,640.80",,,-,-,-,-,-,-,-,-,-,-,-
2020,Kalimantan Barat,Kota Pontianak,107.8,0.02546,0.02,0.03,-,-,-,-,-,-,-,-,-,0
2020,Kalimantan Tengah,Kab. Kotawaringin Barat,"10,759.00",11.17131,0.1,0.31,8.76,0.05,-,-,0.05,-,-,-,-,2
2020,Kalimantan Tengah,Kab. Kotawaringin Timur,"16,796.00",4.05045,0.02,0.05,2.58,1.43,-,-,-,-,-,-,-,-
2020,Kalimantan Tengah,Kab. Kapuas,"14,999.00",0.13761,0,0.03,0.01,0.07,-,-,0.03,-,-,-,-,-
2020,Kalimantan Tengah,Kab. Barito Utara,"8,300.00",0.06761,0,0.05,0,0,0.01,-,-,-,-,-,-,-
2020,Kalimantan Tengah,Kab. Seruyan,"16,404.00",,,-,-,-,-,-,-,-,-,-,-,-
2020,Kalimantan Tengah,Kab. Sukamara,"3,827.00",,,-,-,-,-,-,-,-,-,-,-,-
2020,Kalimantan Tengah,Kab. Lamandau,"6,414.00",406.6618,6.34,0.06,10.02,0.06,109.46,-,0.05,-,-,4.26,0.12,172.86
2020,Kalimantan Tengah,Kab. Gunung Mas,"10,084.00",,,-,-,-,-,-,-,-,-,-,-,-
2020,Kalimantan Tengah,Kab. Pulang Pisau,"8,997.00",0.07852,0,0.01,0.07,-,-,-,-,-,-,-,-,-
2020,Kalimantan Tengah,Kab. Murung Raya,"23,700.16",0.05351,0,-,0.01,-,0,-,0.01,-,-,-,-,0.03
2020,Kalimantan Tengah,Kab. Barito Timur,"3,834.00",0.00683,0,0.01,-,-,-,-,-,-,-,-,-,-
2020,Kalimantan Tengah,Kota Palangkaraya,"2,853.52",91.58408,3.21,0.18,89.78,0.13,-,-,1.49,-,-,-,-,-
2020,Kalimantan Selatan,Kab. Tanah Laut,"3,631.00",1.97103,0.05,0.8,0.83,0,0.01,0.27,0.06,-,-,-,-,-
2020,Kalimantan Selatan,Kab. Kotabaru,"9,442.46",3.10251,0.03,0.02,3,-,-,0,0.08,-,-,-,-,-
2020,Kalimantan Selatan,Kab. Banjar,"4,668.50",0.08738,0,0.09,-,-,-,-,-,-,-,-,-,-
2020,Kalimantan Selatan,Kab. Barito Kuala,"2,996.46",0.62651,0.02,0.06,0.52,0.01,0,-,0.03,-,-,-,-,-
2020,Kalimantan Selatan,Kab. Tapin,"2,174.95",2.027,0.09,1.08,0.05,0.2,0.7,-,0,-,-,-,-,-
2020,Kalimantan Selatan,Kab. Hulu Sungai Selatan,"1,804.94",549.84403,30.46,0.11,0.09,0.08,362.98,-,0.02,-,-,-,-,186.56
2020,Kalimantan Selatan,Kab. Hulu Sungai Tengah,"1,770.77",0.09388,0.01,0,0,0.08,-,-,0.01,-,-,-,-,-
2020,Kalimantan Selatan,Kab. Hulu Sungai Utara,915.05,,,-,-,-,-,-,-,-,-,-,-,-
2020,Kalimantan Selatan,Kab. Tabalong,"3,556.00",0.8175,0.02,0.26,0.04,0.48,-,-,0.04,-,-,-,-,-
2020,Kalimantan Selatan,Kab. Tanah Bumbu,"5,066.96",,,-,-,-,-,-,-,-,-,-,-,-
2020,Kalimantan Selatan,Kab. Balangan,"1,878.30",1.00095,0.05,0.07,0.13,0.01,0,-,0.05,-,-,0.1,-,0.64
2020,Kalimantan Selatan,Kota Banjarmasin,98.46,1.21386,1.23,0.12,-,1.07,-,-,0.03,-,-,-,-,-
2020,Kalimantan Selatan,Kota Banjarbaru,371.38,52.15335,14.04,0.81,2.18,0.04,47.75,-,1.11,-,0.25,-,-,0.01
2020,Kalimantan Timur,Kab. Paser,"11,603.94",0.5173,0,0.37,0.01,0.02,-,-,0.12,-,-,-,-,-
2020,Kalimantan Timur,Kab. Kutai Kartanegara,"27,263.10",76.40028,0.28,76.39,-,-,-,-,-,-,-,-,0.01,-
2020,Kalimantan Timur,Kab. Berau,"34,127.47",31.59324,0.09,0.02,18.4,0.01,0.03,13.14,-,-,-,-,-,-
2020,Kalimantan Timur,Kab. Kutai Timur,"35,747.50",0.49,0,0.27,0.22,-,-,-,-,-,-,-,-,-
2020,Kalimantan Timur,Kab. Penajam Paser Utara,"3,333.00",0.9718,0.03,0.09,-,0.09,-,-,0.79,-,-,-,0,-
2020,Kalimantan Timur,Kota Balikpapan,503.3,187.07838,37.17,0.08,183.98,0.01,-,0.4,0.83,-,-,1.71,0.06,-
2020,Kalimantan Timur,Kota Samarinda,718,3.61777,0.5,0.22,3.34,0.06,-,-,-,-,-,-,-,-
2020,Kalimantan Timur,Kota Bontang,161.88,32.06916,19.81,13.15,0.61,0.05,0.69,13.48,0.16,-,-,-,-,3.94
2020,Kalimantan Utara,Kab. Nunukan,"14,247.50","4,880.60",34.26,0.22,"4,880.01",0.12,-,0.09,0.15,-,-,-,-,-
2020,Kalimantan Utara,Kab. Tana Tidung,"4,828.58",,,-,-,-,-,-,-,-,-,-,-,-
2020,Kalimantan Utara,Kota Tarakan,250.8,98.60666,39.32,0.18,7.08,0.02,2.09,0,0.44,-,0.19,0.33,-,88.29
2020,Sulawesi Utara,Kab. Bolaang Mongondow,"3,506.24",,,-,-,-,-,-,-,-,-,-,-,-
2020,Sulawesi Utara,Kab. Minahasa,"1,141.64",,,-,-,-,-,-,-,-,-,-,-,-
2020,Sulawesi Utara,Kab. Kepulauan Sangihe,737,,,-,-,-,-,-,-,-,-,-,-,-
2020,Sulawesi Utara,Kab. Kepulauan Talaud,"1,251.02",0.19,0.02,0.02,-,0.1,-,0.05,0.02,-,-,-,-,-
2020,Sulawesi Utara,Kab. Minahasa Selatan,"1,456.46",0.0064,0,0,0,-,-,-,-,-,-,-,-,-
2020,Sulawesi Utara,Kab. Minahasa Utara,"1,059.00",1.28611,0.12,0,1.28,0.01,-,-,-,-,-,-,-,-
2020,Sulawesi Utara,Kab. Minahasa Tenggara,"73,062.00",0.00581,0,0.01,-,-,-,-,-,-,-,-,-,-
2020,Sulawesi Utara,Kab. Bolaang Mongondow Utara,"1,856.00",0.00038,0,-,0,-,-,-,-,-,-,-,-,-
2020,Sulawesi Utara,Kab. Kep. Siau Tagulandang Biaro,,,,-,-,-,-,-,-,-,-,-,-,-
2020,Sulawesi Utara,Kab. Bolaang Mongondow Timur,,,,-,-,-,-,-,-,-,-,-,-,-
2020,Sulawesi Utara,Kota Tomohon,34.08,0.2858,0.84,0.26,0.03,-,-,-,0,-,-,-,-,-
2020,Sulawesi Utara,Kota Kotamobagu,108.89,18.5224,17.01,0.06,0.04,0.01,-,-,-,-,-,-,-,18.41
2020,Sulawesi Tengah,Kab. Banggai,"9,672.70",0.14678,0,0.15,-,-,-,-,-,-,-,-,-,-
2020,Sulawesi Tengah,Kab. Poso,"7,112.25",0.00316,0,0,-,-,-,-,-,-,-,-,-,-
2020,Sulawesi Tengah,Kab. Donggala,"5,275.69",0.28904,0.01,0.05,0.21,0,-,-,0.04,-,-,-,-,-
2020,Sulawesi Tengah,Kab. Parigi Moutong,"6,231.85",0.06198,0,0.02,0.04,-,-,-,-,-,-,-,-,-
2020,Sulawesi Tengah,Kab. Sigi,"5,196.02",,,-,-,-,-,-,-,-,-,-,-,-
2020,Sulawesi Tengah,Kab. Banggai Laut,725.67,0.009,0,0.01,-,-,-,-,-,-,-,-,-,-
2020,Sulawesi Tengah,Kab. Morowali Utara,"18,362.39",0,0,0,-,-,-,-,-,-,-,-,-,-
2020,Sulawesi Tengah,Kota Palu,395.06,9.94641,2.52,0.06,-,0,-,-,0.37,-,-,-,-,9.51
2020,Sulawesi Selatan,Kab. Kepulauan Selayar,"1,357.03",0.14725,0.01,0,0.15,-,-,-,-,-,-,-,-,-
2020,Sulawesi Selatan,Kab. Bulukumba,"1,154.58",1.99088,0.17,0.08,0.01,0.91,0.35,0.63,-,-,-,-,-,-
2020,Sulawesi Selatan,Kab. Bantaeng,395.83,0.47738,0.12,0.24,0.06,0.1,0.04,-,0.05,-,-,-,-,-
2020,Sulawesi Selatan,Kab. Jeneponto,747.79,,,-,-,-,-,-,-,-,-,-,-,-
2020,Sulawesi Selatan,Kab. Sinjai,819.96,,,-,-,-,-,-,-,-,-,-,-,-
2020,Sulawesi Selatan,Kab. Bone,"4,593.00",6.7757,0.15,0.17,0.16,6.44,-,-,-,-,-,-,-,-
2020,Sulawesi Selatan,Kab. Maros,"1,619.12",0.002,0,0,-,-,-,-,-,-,-,-,-,-
2020,Sulawesi Selatan,Kab. Pangkajene Kepulauan,"1,112.29",0.02059,0,0.01,0.02,-,-,-,-,-,-,-,-,-
2020,Sulawesi Selatan,Kab. Barru,"1,174.72",0.54343,0.05,0.04,0.05,0.02,0,0.3,0.13,-,-,-,-,-
2020,Sulawesi Selatan,Kab. Soppeng,"1,500.00",1.74712,0.12,0.01,0.01,0,-,-,0.06,-,-,-,-,1.66
2020,Sulawesi Selatan,Kab. Wajo,"2,506.19",70.88666,2.83,0.02,1.03,0.24,66.31,3.18,0.1,-,-,-,-,-
2020,Sulawesi Selatan,Kab. Sidenreng Rappang,"1,883.25",0.24,0.01,0.05,0.04,0.14,-,-,-,-,-,-,-,-
2020,Sulawesi Selatan,Kab. Enrekang,"1,786.01",0.04944,0,0.01,0,0.04,-,-,0,-,-,-,-,-
2020,Sulawesi Selatan,Kab. Luwu,"3,000.25",0.19736,0.01,0.18,0.01,0.01,-,-,-,-,-,-,-,-
2020,Sulawesi Selatan,Kab. Luwu Utara,"7,502.58",0.12472,0,0.09,-,0.04,-,-,-,-,-,-,-,-
2020,Sulawesi Selatan,Kab. Luwu Timur,"6,944.88",7.56861,0.11,0.12,7.4,0.01,-,-,0.04,-,-,-,-,-
2020,Sulawesi Selatan,Kota Makassar,175.77,4.69123,2.67,0.19,0.78,0.58,2.41,-,0.71,-,-,-,-,0.02
2020,Sulawesi Selatan,Kota Pare Pare,99.33,20.57875,20.72,0.18,7.5,0.01,2.32,5.05,0.23,-,-,5.29,-,-
2020,Sulawesi Selatan,Kota Palopo,247.5,1.0127,0.41,1.01,0,0,-,-,-,-,-,-,-,-
2020,Sulawesi Tenggara,Kab. Kolaka,"3,283.64","3,145.80",95.8,0.15,0.09,0.19,-,0.63,0.06,-,0.09,-,-,"3,144.59"
2020,Sulawesi Tenggara,Kab. Kolaka Utara,"339,162.00",0.65627,0,0.15,0.5,-,-,-,-,-,-,-,-,-
2020,Sulawesi Tenggara,Kab. Kolaka Timur,"3,654.74",0.0014,0,-,-,0,-,-,-,-,-,-,-,-
2020,Sulawesi Tenggara,Kota Kendari,271.76,,,-,-,-,-,-,-,-,-,-,-,-
2020,Gorontalo,Kab. Gorontalo,"1,751.00",0.9898,0.06,0.06,0.93,-,-,-,-,-,-,-,-,-
2020,Gorontalo,Kab. Pohuwato,"445,743.00",0.02976,0,0.03,-,-,-,-,-,-,-,-,-,-
2020,Gorontalo,Kota Gorontalo,64.79,0.02013,0.03,0.02,-,-,-,-,-,-,-,-,-,-
2020,Sulawesi Barat,Kab. Pasangkayu,"3,043.65",,,-,-,-,-,-,-,-,-,-,-,-
2020,Sulawesi Barat,Kab. Polewali Mandar,"2,022.30",25.98761,1.29,0.4,2.08,0.09,21.12,1.34,0.05,-,0,0.83,-,0.06
2020,Sulawesi Barat,Kab. Majene,947.84,0.01145,0,0.01,-,-,-,-,-,-,-,-,-,-
2020,Maluku,Kab. Maluku Tenggara,"4,049.00",0.79882,0.02,0.01,0.08,0.66,-,-,0.05,-,-,-,-,-
2020,Maluku,Kab. Maluku Barat Daya,"8,633.15",0.037,0,0.04,-,-,-,-,-,-,-,-,-,-
2020,Maluku,Kota Ambon,45.47,1.67342,3.68,0.19,0.12,0.86,0.25,0.12,0.13,-,-,-,-,-
2020,Maluku Utara,Kab. Pulau Morotai,"4,301.53",0.06737,0,0.05,0.02,-,-,-,-,-,-,-,-,-
2020,Maluku Utara,Kota Ternate,579.54,0.02589,0,0.01,0.01,0,-,0,0,-,-,0,-,-
2020,Maluku Utara,Kota Tidore Kepulauan,"2,875.09",15.3429,0.53,5.36,9.89,0.07,-,0.02,-,-,-,-,-,-
2020,Papua,Kab. Biak Numfor,"2,269.84",680.99592,30,0.02,7.6,0.88,667.16,2.23,0.03,-,-,2.85,-,0.23
2020,Papua,Kota Jayapura,490,0.04885,0.01,0.01,0.04,-,-,-,-,-,-,-,-,-
2020,Papua Barat,Kab. Manokwari,"4,650.32",,,-,-,-,-,-,-,-,-,-,-,-
2020,Papua Barat,Kab. Sorong Selatan,"7,789.92",0.00025,0,0,-,-,-,-,-,-,-,-,-,-
2020,Papua Barat,Kab. Raja Ampat,"67,379,600.00",77.63765,0,0,0,75.15,1.24,0.83,-,-,-,-,-,0.15
2019,Aceh,Kab. Aceh Selatan,"4,173.82",0.04107,0,0.02,-,-,-,0.02,-,-,-,-,-,-
2019,Aceh,Kab. Aceh Timur,"6,041.00",0.0757,0,0.05,0.03,-,-,-,-,-,-,-,-,-
2019,Aceh,Kab. Aceh Tengah,"4,527.53",1.11171,0.02,0.32,0.02,0.02,0.6,0.15,0.01,-,-,-,-,-
2019,Aceh,Kab. Aceh Besar,2.9,,,-,-,-,-,-,-,-,-,-,-,-
2019,Aceh,Kab. Simeulue,"1,838.09",0.028,0,0.03,-,-,-,-,-,-,-,-,-,-
2019,Aceh,Kab. Aceh Barat Daya,"1,882.05",,,-,-,-,-,-,-,-,-,-,-,-
2019,Aceh,Kab. Gayo Lues,"5,549.91",0.89272,0.02,-,0.89,-,0,-,-,-,-,-,-,-
2019,Aceh,Kab. Aceh Jaya,"3,727.00",0.8222,0.02,0.13,-,0.11,0.18,0.4,-,-,-,-,-,-
2019,Aceh,Kab. Aceh Tamiang,"1,957.02",,,-,-,-,-,-,-,-,-,-,-,-
2019,Aceh,Kab. Bener Meriah,1.94,,,-,-,-,-,-,-,-,-,-,-,-
2019,Aceh,Kota Banda Aceh,59.02,2.21849,3.76,0.93,-,-,1.29,-,-,-,-,-,-,-
2019,Aceh,Kota Sabang,122.13,0.00754,0.01,0.01,-,-,-,-,-,-,-,-,-,-
2019,Aceh,Kota Langsa,239.83,,,-,-,-,-,-,-,-,-,-,-,-
2019,Sumatera Utara,Kab. Langkat,"6,273.29",0.08584,0,0.01,0,0.08,-,-,-,-,-,-,-,-
2019,Sumatera Utara,Kab. Deli Serdang,"2,497.72",418.00092,16.74,12.81,368.51,6.34,0,21.13,9.21,-,-,-,-,-
2019,Sumatera Utara,Kab. Asahan,"3,732.97",0.21712,0.01,0.12,0.09,0.01,-,-,-,-,-,-,-,-
2019,Sumatera Utara,Kab. Dairi,"1,927.80",,,-,-,-,-,-,-,-,-,-,-,-
2019,Sumatera Utara,Kab. Nias Selatan,"2,488.00",0.0005,0,0,-,-,-,-,-,-,-,-,-,-
2019,Sumatera Utara,Kota Medan,265.1,0.0152,0.01,0.02,-,-,-,-,-,-,-,-,-,-
2019,Sumatera Utara,Kota Pematang Siantar,79.97,,,-,-,-,-,-,-,-,-,-,-,-
2019,Sumatera Utara,Kota Sibolga,10.77,0.005,0.05,0.01,-,-,-,-,-,-,-,-,-,-
2019,Sumatera Utara,Kota Tanjung Balai,60.52,,,-,-,-,-,-,-,-,-,-,-,-
2019,Sumatera Utara,Kota Tebing Tinggi,,,,-,-,-,-,-,-,-,-,-,-,-
